iter	Logloss
0	0.6831446962
1	0.6735806496
2	0.6646732903
3	0.6551818189
4	0.6464481313
5	0.6374440197
6	0.6331347446
7	0.6259031975
8	0.6189034611
9	0.6102407251
10	0.6037329997
11	0.5975929332
12	0.5913173695
13	0.5852406637
14	0.5785225403
15	0.5736319174
16	0.5692946038
17	0.5643497909
18	0.5602568812
19	0.5556417722
20	0.5514353047
21	0.5470858368
22	0.5438987573
23	0.5401015457
24	0.536042247
25	0.5326087453
26	0.5296120112
27	0.5266179977
28	0.5237470198
29	0.5205360703
30	0.5180038353
31	0.5148942016
32	0.5124614833
33	0.5099575062
34	0.507706226
35	0.5048693856
36	0.503137014
37	0.5009179407
38	0.4986104958
39	0.4967578529
40	0.4946217102
41	0.4933086864
42	0.4913103664
43	0.489764084
44	0.4881619002
45	0.4865154867
46	0.484479124
47	0.482513318
48	0.4811079737
49	0.4794859129
50	0.4779978573
51	0.4762398167
52	0.4750972175
53	0.473874847
54	0.4725137761
55	0.4715499384
56	0.4702356861
57	0.4691360441
58	0.4680051166
59	0.4667952954
60	0.4658278157
61	0.4644963191
62	0.4632649535
63	0.4614787866
64	0.4606476817
65	0.4599327674
66	0.4586657724
67	0.4579102265
68	0.456926073
69	0.4555174377
70	0.454154173
71	0.4531865617
72	0.4520281223
73	0.4510810463
74	0.4499281356
75	0.4489747849
76	0.4479635583
77	0.4468921302
78	0.4458880119
79	0.4451409785
80	0.4441057503
81	0.4434092211
82	0.4424549489
83	0.4419675453
84	0.4409625494
85	0.4402726021
86	0.4394799348
87	0.4388231158
88	0.438072967
89	0.4370823633
90	0.4363857025
91	0.4358222133
92	0.4351841744
93	0.4347061168
94	0.4342239347
95	0.433608932
96	0.4330531654
97	0.4325614178
98	0.4319340852
99	0.4308975406
100	0.4304427388
101	0.4298520448
102	0.4292311624
103	0.428541215
104	0.42813525
105	0.4275404754
106	0.4268711948
107	0.4262499614
108	0.4250585692
109	0.4246526042
110	0.4240335647
111	0.4233154911
112	0.4227548979
113	0.4224480986
114	0.4220247138
115	0.4216626714
116	0.4209470989
117	0.4205368338
118	0.4200102904
119	0.4196900204
120	0.4192791849
121	0.4189633027
122	0.4185045079
123	0.4179267582
124	0.4174450148
125	0.417149624
126	0.416467487
127	0.4160066738
128	0.4156989969
129	0.415235156
130	0.4149278302
131	0.4143434548
132	0.4139802276
133	0.4136589484
134	0.413334466
135	0.4131292896
136	0.4128288088
137	0.411772826
138	0.4110582189
139	0.4105641456
140	0.4102551524
141	0.4099326446
142	0.4096805619
143	0.4093369046
144	0.4090700348
145	0.4087434463
146	0.4082693378
147	0.4079890412
148	0.4076334928
149	0.407241569
150	0.4070057214
151	0.4067483733
152	0.4065475848
153	0.4061654459
154	0.4058101607
155	0.4054263984
156	0.4043771729
157	0.4041966562
158	0.403773447
159	0.4035615571
160	0.4030823149
161	0.4027357616
162	0.4024330869
163	0.4019609529
164	0.4017299759
165	0.4014399821
166	0.401164205
167	0.4008035228
168	0.400478821
169	0.4001226144
170	0.3998721553
171	0.3994008112
172	0.399177118
173	0.3989459215
174	0.398652242
175	0.3983342975
176	0.3980591786
177	0.3977860781
178	0.3975575582
179	0.3967402312
180	0.3965232515
181	0.3961088618
182	0.3958733653
183	0.3956303655
184	0.395203997
185	0.3945538036
186	0.3943230898
187	0.3940373962
188	0.3937592496
189	0.3933812792
190	0.3931248526
191	0.3923719833
192	0.3920023937
193	0.3917523733
194	0.3915703209
195	0.3913299539
196	0.3911666815
197	0.3909945457
198	0.3908304836
199	0.3905759876
200	0.390243256
201	0.3899501469
202	0.38977766
203	0.3895341776
204	0.3893570835
205	0.3892336529
206	0.3890749001
207	0.3887672232
208	0.3886010549
209	0.3882806533
210	0.3877980762
211	0.387523045
212	0.3873210279
213	0.387076975
214	0.3866287111
215	0.3863404724
216	0.3861431503
217	0.38598782
218	0.3858241089
219	0.3855048042
220	0.3852921684
221	0.38518098
222	0.3850231486
223	0.3848597008
224	0.3847572003
225	0.3845948494
226	0.3839250862
227	0.3837598832
228	0.3835886689
229	0.3831749374
230	0.3830208796
231	0.3829199149
232	0.3827880157
233	0.3825881486
234	0.3824054819
235	0.3819773144
236	0.3817623092
237	0.3816462941
238	0.3814902618
239	0.3813059716
240	0.3810721863
241	0.3806926363
242	0.3804272584
243	0.3801291032
244	0.3799180032
245	0.379700453
246	0.3795700896
247	0.379379086
248	0.3792535493
249	0.3791237563
250	0.3789230555
251	0.3788385892
252	0.3787508319
253	0.3784343794
254	0.3782307387
255	0.3780989712
256	0.3779174892
257	0.3777276703
258	0.3775751483
259	0.377380766
260	0.3772501832
261	0.3770665951
262	0.3768877459
263	0.3767801555
264	0.3766412358
265	0.3763397019
266	0.3761862145
267	0.3760648024
268	0.3759282521
269	0.375733475
270	0.3754499752
271	0.3751537946
272	0.3750024133
273	0.3747780181
274	0.374451605
275	0.3742624004
276	0.3739886856
277	0.3738131712
278	0.3736687228
279	0.3733603877
280	0.3730619254
281	0.3729402061
282	0.3728130458
283	0.3726268689
284	0.3720088824
285	0.3718501296
286	0.3716354315
287	0.3714784338
288	0.3713139768
289	0.3711660181
290	0.3709161732
291	0.3707801056
292	0.3703656282
293	0.3702127551
294	0.3699920457
295	0.3699020068
296	0.3696772605
297	0.3695700211
298	0.3692257934
299	0.3690392654
300	0.3687578279
301	0.3685892463
302	0.3684726169
303	0.3683221572
304	0.3682137331
305	0.3680835014
306	0.3679066486
307	0.3677516913
308	0.3675965145
309	0.3674762213
310	0.3673466258
311	0.3672421728
312	0.3668846937
313	0.3664699969
314	0.3663076021
315	0.3662051016
316	0.3659872443
317	0.3658174999
318	0.3657345254
319	0.3655174579
320	0.3653802714
321	0.3652457834
322	0.3650816994
323	0.3649449955
324	0.3644863104
325	0.3643817696
326	0.3641035353
327	0.3640279324
328	0.3638504434
329	0.3637416244
330	0.3635641574
331	0.3633120967
332	0.3632525973
333	0.363065455
334	0.3629206336
335	0.3624894165
336	0.3623053896
337	0.3621568166
338	0.3620476466
339	0.3619204425
340	0.3616503696
341	0.3615316779
342	0.3613481117
343	0.3611202939
344	0.3608972589
345	0.3607864874
346	0.3605290734
347	0.36044283
348	0.3601038896
349	0.3598822368
350	0.3598025094
351	0.3595638974
352	0.3593899626
353	0.3592495949
354	0.3591122987
355	0.3589167756
356	0.3588423575
357	0.3584863702
358	0.3583541201
359	0.3581945994
360	0.3580647845
361	0.3579594978
362	0.3578522804
363	0.3577679676
364	0.357625033
365	0.3575065827
366	0.3573875619
367	0.3572270978
368	0.357084953
369	0.3568310933
370	0.3565950922
371	0.3563932286
372	0.3562381615
373	0.3561363632
374	0.3560020288
375	0.3559370884
376	0.3558138114
377	0.3556853568
378	0.3555537648
379	0.355307891
380	0.3550631799
381	0.3549618203
382	0.3546497556
383	0.3544347723
384	0.3542722679
385	0.3540313743
386	0.3537482694
387	0.3536285027
388	0.353511654
389	0.3534040417
390	0.3533053587
391	0.3531262462
392	0.3529548563
393	0.3527353316
394	0.3526335112
395	0.3523555182
396	0.3522032594
397	0.3520995962
398	0.3516482827
399	0.3515468134
400	0.3513474948
401	0.351182928
402	0.3511010944
403	0.350972903
404	0.3508961374
405	0.350661672
406	0.3505494963
407	0.3504193304
408	0.3503214153
409	0.3501758918
410	0.3500137384
411	0.3498420633
412	0.3497368863
413	0.3495247331
414	0.3493080167
415	0.3490264476
416	0.3488393272
417	0.3487036326
418	0.3485030634
419	0.3483015509
420	0.3481553254
421	0.3480385205
422	0.3478998641
423	0.3477937656
424	0.347549976
425	0.3473025883
426	0.3471770077
427	0.3470473903
428	0.3469509451
429	0.3467533597
430	0.3466172482
431	0.3464316856
432	0.3462667458
433	0.3461391029
434	0.346003869
435	0.3456804178
436	0.3456174739
437	0.3455032579
438	0.3453967645
439	0.3452724125
440	0.3451570776
441	0.3447725034
442	0.3446256197
443	0.3444199387
444	0.3442927566
445	0.3440683613
446	0.3439288712
447	0.3437772047
448	0.3436886138
449	0.343595657
450	0.3434176853
451	0.3433083617
452	0.3431968662
453	0.3430293376
454	0.3429396716
455	0.3427866888
456	0.3423610004
457	0.3422001195
458	0.3419517226
459	0.3417306183
460	0.3415364993
461	0.3414112258
462	0.3412208146
463	0.341038455
464	0.3409275738
465	0.3407580926
466	0.3405470584
467	0.3403576564
468	0.3402191316
469	0.3401056615
470	0.3400005283
471	0.3399338986
472	0.3397615654
473	0.3396342296
474	0.3394239852
475	0.3392082779
476	0.3390589809
